id,organisation,category,careers_homepage,listings_url,apply_url_pattern,ats_platform,js_required,playwright_required,feed_or_api,jsonld_jobposting,est_active_vacancies,pagination_method,anti_bot,import_priority,connector_type,confidence,notes
cut,Central University of Technology,university,https://www.cut.ac.za/vacancies,TBD,TBD,custom,yes,maybe,unknown,maybe,15-70,list paging,low,Low,firecrawl_ai,low,"UoT."
mut,Mangosuthu University of Technology,university,https://www.mut.ac.za/careers/,TBD,TBD,custom,yes,maybe,unknown,maybe,10-50,list paging,low,Low,firecrawl_ai,low,"UoT."
ump,University of Mpumalanga,university,https://www.ump.ac.za/Careers.html,TBD,TBD,custom,yes,maybe,unknown,maybe,10-50,list paging,low,Low,firecrawl_ai,low,"Newer university."
spu,Sol Plaatje University,university,https://www.spu.ac.za/index.php/vacancies/,TBD,TBD,custom,yes,maybe,unknown,maybe,10-50,list paging,low,Low,firecrawl_ai,low,"Newer university."
dhet_tvet,DHET / TVET Colleges,education_gov,https://www.dhet.gov.za/,https://www.dhet.gov.za/SitePages/Vacancies.aspx,gov apply/Z83,gov,no,no,unknown,no,100-500,list paging,low,High,firecrawl_ai,medium,"Dept of Higher Education + 50 public TVET colleges; many posts flow through DPSA circular and college sites."
netcare,Netcare,healthcare,https://www.netcare.co.za/Careers,TBD,TBD,custom,yes,maybe,unknown,maybe,200-600,unknown,medium,High,firecrawl_ai,medium,"Large private hospital group; high nursing volume."
lifehealthcare,Life Healthcare,healthcare,https://www.lifehealthcare.co.za/careers/,TBD,TBD,custom,yes,maybe,unknown,maybe,150-500,unknown,medium,High,firecrawl_ai,medium,"Private hospital group."
mediclinic,Mediclinic Southern Africa,healthcare,https://www.mediclinic.co.za/en/corporate/careers.html,TBD,TBD,successfactors,yes,maybe,unknown,maybe,150-500,unknown,medium,High,successfactors,medium,"Likely SuccessFactors."
nhls,National Health Laboratory Service,healthcare,https://www.nhls.ac.za/careers/,TBD,gov apply,custom,yes,maybe,unknown,maybe,50-200,list paging,low,Medium,firecrawl_ai,medium,"Public pathology."
intercare,Intercare Group,healthcare,https://www.intercare.co.za/careers/,TBD,TBD,custom,yes,maybe,unknown,unknown,30-120,unknown,medium,Low,firecrawl_ai,medium,"Private day hospitals/clinics."
ampath,Ampath,healthcare,https://www.ampath.co.za/careers,TBD,TBD,custom,yes,maybe,unknown,unknown,30-120,unknown,medium,Low,firecrawl_ai,medium,"Private pathology lab."
lancet,Lancet Laboratories,healthcare,https://www.lancet.co.za/careers,TBD,TBD,custom,yes,maybe,unknown,unknown,30-120,unknown,medium,Low,firecrawl_ai,medium,"Private pathology lab (Cerba group)."
dsv,DSV South Africa,logistics,https://www.dsv.com/en-za/about-dsv/careers,TBD,TBD,successfactors,yes,maybe,unknown,maybe,50-200,unknown,medium,Medium,successfactors,medium,"Global logistics; SuccessFactors likely."
dpworld,DP World (Imperial) SA,logistics,https://www.dpworld.com/south-africa/careers,TBD,TBD,workday,yes,no,workday_cxs_json,no,50-200,offset,low,Medium,workday,medium,"Global; Workday likely."
barloworld,Barloworld,logistics,https://www.barloworld.com/careers/,TBD,TBD,successfactors,yes,maybe,unknown,maybe,50-200,unknown,medium,Medium,successfactors,medium,"Industrial/logistics."
bidvest,Bidvest Group,logistics,https://www.bidvest.co.za/careers.php,TBD,TBD,custom,yes,maybe,unknown,unknown,100-400,unknown,medium,Medium,firecrawl_ai,medium,"Diversified group."
grindrod,Grindrod,logistics,https://www.grindrod.com/careers,TBD,TBD,custom,yes,maybe,unknown,unknown,30-120,unknown,medium,Low,firecrawl_ai,medium,"Freight/logistics."
supergroup,Super Group,logistics,https://www.supergroup.co.za/careers/,TBD,TBD,custom,yes,maybe,unknown,unknown,30-120,unknown,medium,Low,firecrawl_ai,medium,"Fleet/logistics."
unitrans,Unitrans,logistics,https://www.unitrans.co.za/careers/,TBD,TBD,custom,yes,maybe,unknown,unknown,30-120,unknown,medium,Low,firecrawl_ai,medium,"Supply-chain/logistics."
adcorp,Adcorp Group,recruitment,https://www.adcorpgroup.com/careers/,TBD,agency/employer,agency,yes,maybe,unknown,unknown,n/a,unknown,unknown,Excluded,policy_review,medium,"RECRUITMENT AGENCY. Conflicts with official-employer-only policy (masks employer + apply URL). Documented per request; do NOT import unless it exposes the true employer apply URL."
kelly,Kelly (Adcorp),recruitment,https://www.kelly.co.za/,TBD,agency,agency,yes,maybe,unknown,unknown,n/a,unknown,unknown,Excluded,policy_review,medium,"RECRUITMENT AGENCY. Excluded by policy; documented only."
quest,Quest Staffing Solutions,recruitment,https://www.quest.co.za/,TBD,agency,agency,yes,maybe,unknown,unknown,n/a,unknown,unknown,Excluded,policy_review,medium,"RECRUITMENT AGENCY. Excluded by policy; documented only."
network_advtech,Network Recruitment (ADvTECH Resourcing),recruitment,https://www.networkrecruitment.co.za/,TBD,agency,agency,yes,maybe,unknown,unknown,n/a,unknown,unknown,Excluded,policy_review,medium,"RECRUITMENT AGENCY. Excluded by policy; documented only."
michael_page_za,Michael Page South Africa,recruitment,https://www.michaelpage.co.za/,TBD,agency,agency,yes,maybe,unknown,unknown,n/a,unknown,unknown,Excluded,policy_review,medium,"RECRUITMENT AGENCY. Excluded by policy; documented only."

city_of_cape_town,City of Cape Town,municipality,https://www.capetown.gov.za/Work%20and%20business/Jobs-and-employment/Vacancies,https://www.capetown.gov.za/Work%20and%20business/Jobs-and-employment/Vacancies,https://www.capetown.gov.za/Work%20and%20business/Jobs-and-employment/Vacancies,custom,yes,maybe,unknown,no,50-200,portal paging,low,High,firecrawl_ai,high,"Metro municipality; official job listings page confirmed. Vacancies published regularly."
city_of_johannesburg,City of Johannesburg,municipality,https://www.joburg.org.za/work_/Pages/Vacancies/Vacancies.aspx,https://www.joburg.org.za/work_/Pages/Vacancies/Vacancies.aspx,https://www.joburg.org.za/work_/Pages/Vacancies/Vacancies.aspx,sharepoint,yes,maybe,unknown,no,50-150,portal paging,low,High,firecrawl_ai,high,"Metro municipality; SharePoint-based portal. Regular vacancy publications."
city_of_ekurhuleni,City of Ekurhuleni,municipality,https://www.ekurhuleni.gov.za/vacancies,https://www.ekurhuleni.gov.za/vacancies,https://www.ekurhuleni.gov.za/vacancies,custom,yes,maybe,unknown,no,30-100,portal paging,low,High,firecrawl_ai,high,"Metro municipality; vacancies page confirmed."
city_of_ethekwini,eThekwini Municipality,municipality,https://www.durban.gov.za/pages/government/vacancies,https://www.durban.gov.za/pages/government/vacancies,https://www.durban.gov.za/pages/government/vacancies,custom,yes,maybe,unknown,no,50-150,portal paging,low,High,firecrawl_ai,high,"Durban metro; regular vacancy publications."
city_of_tshwane,City of Tshwane,municipality,https://www.tshwane.gov.za/sites/Council/Vacancies,https://www.tshwane.gov.za/sites/Council/Vacancies,https://www.tshwane.gov.za/sites/Council/Vacancies,sharepoint,yes,maybe,unknown,no,30-100,portal paging,low,High,firecrawl_ai,high,"Pretoria metro municipality."
nelson_mandela_bay,Nelson Mandela Bay Municipality,municipality,https://www.nelsonmandelabay.gov.za/vacancies,https://www.nelsonmandelabay.gov.za/vacancies,https://www.nelsonmandelabay.gov.za/vacancies,custom,yes,maybe,unknown,no,20-60,portal paging,low,Medium,firecrawl_ai,high,"Port Elizabeth metro."
buffalo_city,Buffalo City Metropolitan Municipality,municipality,https://www.buffalocity.gov.za/vacancies,https://www.buffalocity.gov.za/vacancies,https://www.buffalocity.gov.za/vacancies,custom,yes,maybe,unknown,no,20-60,portal paging,low,Medium,firecrawl_ai,high,"East London metro."
mangaung,Mangaung Metropolitan Municipality,municipality,https://www.mangaung.co.za/vacancies/,https://www.mangaung.co.za/vacancies/,https://www.mangaung.co.za/vacancies/,custom,yes,maybe,unknown,no,15-50,portal paging,low,Medium,firecrawl_ai,medium,"Bloemfontein metro."
western_cape_gov,Western Cape Government,provincial_government,https://www.westerncape.gov.za/jobs,https://www.westerncape.gov.za/jobs,https://www.westerncape.gov.za/jobs,custom,yes,maybe,unknown,no,100-300,portal paging,low,High,firecrawl_ai,verified,"Provincial government; verified job portal with regular listings."
gauteng_gpg,Gauteng Provincial Government,provincial_government,https://jobs.gpg.gov.za/,https://jobs.gpg.gov.za/,https://jobs.gpg.gov.za/,custom,yes,maybe,unknown,no,100-400,portal paging,medium,High,firecrawl_ai,high,"GPG E-Recruitment system; known provincial job portal."
kwazulu_natal_gov,KwaZulu-Natal Provincial Government,provincial_government,https://www.kznonline.gov.za/vacancies,https://www.kznonline.gov.za/vacancies,https://www.kznonline.gov.za/vacancies,custom,yes,maybe,unknown,no,80-200,portal paging,low,High,firecrawl_ai,high,"KZN provincial vacancies."
eastern_cape_gov,Eastern Cape Provincial Government,provincial_government,https://www.ecprov.gov.za/vacancies,https://www.ecprov.gov.za/vacancies,https://www.ecprov.gov.za/vacancies,custom,yes,maybe,unknown,no,50-150,portal paging,low,Medium,firecrawl_ai,medium,"EC provincial vacancies."
limpopo_gov,Limpopo Provincial Government,provincial_government,https://www.limpopo.gov.za/vacancies,https://www.limpopo.gov.za/vacancies,https://www.limpopo.gov.za/vacancies,custom,yes,maybe,unknown,no,50-150,portal paging,low,Medium,firecrawl_ai,medium,"Limpopo provincial vacancies."
uct,University of Cape Town,university,https://www.uct.ac.za/main/explore-uct/vacancies,https://irec.uct.ac.za/,https://irec.uct.ac.za/,oracle_peoplesoft,yes,maybe,unknown,no,50-150,portal paging,medium,High,firecrawl_ai,high,"UCT uses Oracle iRecruitment. Known HR portal."
wits,University of the Witwatersrand,university,https://www.wits.ac.za/vacancies/,https://irec.wits.ac.za/,https://irec.wits.ac.za/,oracle_peoplesoft,yes,maybe,unknown,no,50-120,portal paging,medium,High,firecrawl_ai,high,"Wits Oracle iRecruitment portal confirmed."
stellenbosch,Stellenbosch University,university,https://www.sun.ac.za/english/human-resources/vacancies,https://www.sun.ac.za/english/human-resources/vacancies,https://www.sun.ac.za/english/human-resources/vacancies,custom,yes,maybe,unknown,no,30-80,portal paging,low,Medium,firecrawl_ai,high,"SU vacancies page."
up,University of Pretoria,university,https://www.up.ac.za/human-resources/article/7898/vacancies,https://www.up.ac.za/human-resources/article/7898/vacancies,https://www.up.ac.za/human-resources/article/7898/vacancies,custom,yes,maybe,unknown,no,40-100,portal paging,low,Medium,firecrawl_ai,high,"UP vacancies page."
ukzn,University of KwaZulu-Natal,university,https://vacancies.ukzn.ac.za/,https://vacancies.ukzn.ac.za/,https://vacancies.ukzn.ac.za/,custom,yes,maybe,unknown,no,30-80,portal paging,medium,Medium,firecrawl_ai,high,"UKZN dedicated vacancies portal."
uj,University of Johannesburg,university,https://www.uj.ac.za/about/vacancies/,https://www.uj.ac.za/about/vacancies/,https://www.uj.ac.za/about/vacancies/,custom,yes,maybe,unknown,no,30-80,portal paging,low,Medium,firecrawl_ai,high,"UJ vacancies."
nwu,North-West University,university,https://www.nwu.ac.za/vacancies,https://www.nwu.ac.za/vacancies,https://www.nwu.ac.za/vacancies,custom,yes,maybe,unknown,no,20-60,portal paging,low,Medium,firecrawl_ai,high,"NWU vacancies."
unisa,University of South Africa,university,https://www.unisa.ac.za/sites/corporate/default/About/Vacancies,https://www.unisa.ac.za/sites/corporate/default/About/Vacancies,https://www.unisa.ac.za/sites/corporate/default/About/Vacancies,successfactors,yes,maybe,unknown,maybe,30-100,unknown,medium,High,successfactors,medium,"UNISA (largest by enrolment); likely SuccessFactors."
ufs,University of the Free State,university,https://www.ufs.ac.za/supportservices/departments/human-resources-home/vacancies,https://www.ufs.ac.za/supportservices/departments/human-resources-home/vacancies,https://www.ufs.ac.za/supportservices/departments/human-resources-home/vacancies,custom,yes,maybe,unknown,no,20-50,portal paging,low,Medium,firecrawl_ai,high,"UFS vacancies."
tvet_dhet,DHET TVET Colleges,tvet_college,https://www.dhet.gov.za/SitePages/TVETCollegeVacancies.aspx,https://www.dhet.gov.za/SitePages/TVETCollegeVacancies.aspx,https://www.dhet.gov.za/SitePages/TVETCollegeVacancies.aspx,sharepoint,yes,maybe,unknown,no,50-200,portal paging,low,High,firecrawl_ai,high,"DHET central portal for all 50 TVET college vacancies."
tshwane_tvet,Tshwane South TVET College,tvet_college,https://www.tsc.edu.za/vacancies/,https://www.tsc.edu.za/vacancies/,https://www.tsc.edu.za/vacancies/,custom,yes,maybe,unknown,no,10-30,portal paging,low,Low,firecrawl_ai,medium,"Individual TVET college."
ekurhuleni_east_tvet,Ekurhuleni East TVET College,tvet_college,https://www.eec.edu.za/vacancies/,https://www.eec.edu.za/vacancies/,https://www.eec.edu.za/vacancies/,custom,yes,maybe,unknown,no,10-20,portal paging,low,Low,firecrawl_ai,medium,"Individual TVET college."
eskom,Eskom Holdings,soe,https://www.eskom.co.za/careers/,TBD,TBD,successfactors,yes,maybe,unknown,maybe,100-300,unknown,medium,High,successfactors,medium,"Major SOE; SuccessFactors likely. Large employer."
transnet,Transnet SOC,soe,https://www.transnet.net/Careers/Pages/default.aspx,https://www.transnet.net/Careers/Pages/default.aspx,TBD,successfactors,yes,maybe,unknown,maybe,100-300,unknown,medium,High,successfactors,medium,"Rail/port/pipeline SOE; regular large intakes."
prasa,PRASA,soe,https://www.prasa.com/vacancies.html,https://www.prasa.com/vacancies.html,https://www.prasa.com/vacancies.html,custom,yes,maybe,unknown,no,30-80,portal paging,low,Medium,firecrawl_ai,medium,"Passenger Rail Agency."
sanral,SANRAL,soe,https://www.sanral.co.za/careers/,https://www.sanral.co.za/careers/,https://www.sanral.co.za/careers/,custom,yes,maybe,unknown,no,20-50,portal paging,low,Medium,firecrawl_ai,medium,"National roads agency."
denel,Denel,soe,https://www.denel.co.za/careers,https://www.denel.co.za/careers,https://www.denel.co.za/careers,custom,yes,maybe,unknown,no,20-50,portal paging,low,Medium,firecrawl_ai,medium,"Defence & aerospace SOE."
sabc,SABC,soe,https://www.sabc.co.za/sabc/careers/,https://www.sabc.co.za/sabc/careers/,https://www.sabc.co.za/sabc/careers/,custom,yes,maybe,unknown,no,20-60,portal paging,low,Medium,firecrawl_ai,medium,"SA Broadcasting Corporation."
dbsa,Development Bank of SA,soe,https://www.dbsa.org/careers,TBD,TBD,successfactors,yes,maybe,unknown,maybe,20-50,unknown,medium,Medium,successfactors,medium,"Development finance SOE."
idc,Industrial Development Corporation,soe,https://www.idc.co.za/careers/,TBD,TBD,successfactors,yes,maybe,unknown,maybe,20-40,unknown,medium,Medium,successfactors,medium,"Development finance SOE."
sars,South African Revenue Service,national_government,https://www.sars.gov.za/careers/,TBD,TBD,successfactors,yes,maybe,unknown,maybe,50-200,unknown,medium,High,successfactors,medium,"Tax authority; regular intakes."
sarb,South African Reserve Bank,national_government,https://www.resbank.co.za/en/home/vacancies,TBD,TBD,successfactors,yes,maybe,unknown,maybe,30-80,unknown,medium,High,successfactors,medium,"Central bank."
netcare,Netcare,hospital,https://www.netcare.co.za/Careers,https://www.netcare.co.za/Careers,TBD,custom,yes,maybe,unknown,maybe,100-300,portal paging,medium,High,firecrawl_ai,high,"Largest private hospital group in SA."
life_healthcare,Life Healthcare,hospital,https://www.lifehealthcare.co.za/careers/,https://www.lifehealthcare.co.za/careers/,TBD,custom,yes,maybe,unknown,maybe,80-200,portal paging,medium,High,firecrawl_ai,high,"Second-largest private hospital group."
mediclinic_za,Mediclinic Southern Africa,hospital,https://www.mediclinic.co.za/en/careers.html,TBD,TBD,successfactors,yes,maybe,unknown,maybe,80-200,unknown,medium,High,successfactors,medium,"Private hospital group; SuccessFactors likely."
nhls,National Health Laboratory Service,hospital,https://www.nhls.ac.za/careers/,https://www.nhls.ac.za/careers/,https://www.nhls.ac.za/careers/,custom,yes,maybe,unknown,no,30-100,portal paging,low,Medium,firecrawl_ai,high,"Public health labs; regular vacancies."
shoprite_group,Shoprite Group,retail,https://shoprite.jobs/,https://shoprite.jobs/,TBD,custom,yes,maybe,unknown,maybe,300-800,portal paging,medium,High,firecrawl_ai,high,"Largest retailer in Africa by store count."
woolworths_za,Woolworths,retail,https://www.woolworths.co.za/corp/careers,TBD,TBD,successfactors,yes,maybe,unknown,maybe,100-250,unknown,medium,High,successfactors,medium,"Premium retailer; SuccessFactors likely."
pick_n_pay,Pick n Pay,retail,https://www.picknpay.com/about-us/careers,TBD,TBD,successfactors,yes,maybe,unknown,maybe,100-300,unknown,medium,High,successfactors,medium,"Major retailer."
clicks,Clicks Group,retail,https://careers.clicksgroup.co.za/,https://careers.clicksgroup.co.za/,TBD,custom,yes,maybe,unknown,maybe,80-200,portal paging,medium,High,firecrawl_ai,high,"Health/beauty retailer; dedicated portal."
dischem,Dis-Chem Pharmacies,retail,https://www.dischem.co.za/careers,https://www.dischem.co.za/careers,TBD,custom,yes,maybe,unknown,maybe,80-200,portal paging,medium,High,firecrawl_ai,high,"Pharmacy/retail chain."
anglo_american,Anglo American,mining,https://www.angloamerican.com/careers,TBD,TBD,successfactors,yes,maybe,unknown,maybe,100-300,unknown,medium,High,successfactors,medium,"Diversified mining group."
sibanye_stillwater,Sibanye-Stillwater,mining,https://www.sibanyestillwater.com/careers/,TBD,TBD,successfactors,yes,maybe,unknown,maybe,50-150,unknown,medium,Medium,successfactors,medium,"PGM/gold mining."
gold_fields,Gold Fields,mining,https://www.goldfields.com/careers.php,TBD,TBD,workday,yes,no,workday_cxs_json,no,50-100,offset,low,Medium,workday,medium,"Workday likely (multinational mining)."
implats,Impala Platinum,mining,https://www.implats.co.za/careers.php,TBD,TBD,successfactors,yes,maybe,unknown,maybe,50-100,unknown,medium,Medium,successfactors,medium,"PGM mining."
sasol,Sasol,mining,https://www.sasol.com/careers,TBD,TBD,successfactors,yes,maybe,unknown,maybe,100-250,unknown,medium,High,successfactors,medium,"Energy/chemical; SuccessFactors."
exxaro,Exxaro Resources,mining,https://www.exxaro.com/careers,TBD,TBD,successfactors,yes,maybe,unknown,maybe,30-80,unknown,medium,Medium,successfactors,medium,"Coal mining."
dsv_za,DSV South Africa,logistics,https://www.dsv.com/en-za/careers,TBD,TBD,successfactors,yes,maybe,unknown,maybe,50-150,unknown,medium,High,successfactors,medium,"Global logistics; SuccessFactors likely."
imperial_logistics,Imperial Logistics,logistics,https://www.imperiallogistics.com/careers.php,TBD,TBD,custom,yes,maybe,unknown,no,50-150,portal paging,medium,Medium,firecrawl_ai,medium,"SA logistics company."
bidvest,Bidvest Group,logistics,https://www.bidvest.com/careers/,TBD,TBD,custom,yes,maybe,unknown,no,50-150,portal paging,medium,Medium,firecrawl_ai,medium,"Diversified services/logistics."
vodacom,Vodacom,telecom,https://careers.vodacom.co.za/,TBD,TBD,successfactors,yes,maybe,unknown,maybe,50-150,unknown,medium,High,successfactors,medium,"Mobile operator; SuccessFactors."
mtn_za,MTN South Africa,telecom,https://www.mtn.com/careers/,TBD,TBD,successfactors,yes,maybe,unknown,maybe,50-150,unknown,medium,High,successfactors,medium,"Mobile operator; SuccessFactors."
tsogo_sun,Tsogo Sun,hospitality,https://www.tsogosun.com/careers,https://www.tsogosun.com/careers,TBD,custom,yes,maybe,unknown,no,30-100,portal paging,low,Medium,firecrawl_ai,medium,"Hotels/gaming/entertainment group."
sun_international,Sun International,hospitality,https://www.suninternational.com/careers/,https://www.suninternational.com/careers/,TBD,custom,yes,maybe,unknown,no,30-80,portal paging,low,Medium,firecrawl_ai,medium,"Hotels/casinos group."
city_lodge,City Lodge Hotel Group,hospitality,https://www.clhg.com/careers,https://www.clhg.com/careers,TBD,custom,yes,maybe,unknown,no,15-40,portal paging,low,Low,firecrawl_ai,medium,"Hotel chain."
south_african_tourism,South African Tourism,tourism,https://www.southafrica.net/gl/en/corporate/page/careers-at-south-african-tourism,TBD,TBD,custom,yes,maybe,unknown,no,10-30,portal paging,low,Low,firecrawl_ai,medium,"Government tourism body."
msf_za,Médecins Sans Frontières SA,ngo,https://www.msf.org.za/work-with-us,https://www.msf.org.za/work-with-us,TBD,custom,yes,maybe,unknown,no,10-30,portal paging,low,Low,firecrawl_ai,medium,"Medical humanitarian NGO."
gift_of_the_givers,Gift of the Givers,ngo,https://www.giftofthegivers.org/careers,https://www.giftofthegivers.org/careers,TBD,custom,yes,maybe,unknown,no,5-20,portal paging,low,Low,firecrawl_ai,low,"Disaster relief NGO."
section27,SECTION27,ngo,https://section27.org.za/vacancies/,https://section27.org.za/vacancies/,TBD,custom,yes,maybe,unknown,no,3-10,portal paging,low,Low,firecrawl_ai,medium,"Human rights legal NGO."
murray_roberts,Murray & Roberts,engineering,https://www.murrob.com/careers.asp,TBD,TBD,custom,yes,maybe,unknown,no,30-80,portal paging,medium,Medium,firecrawl_ai,medium,"Engineering/construction group."
wbho,WBHO Construction,construction,https://www.wbho.co.za/careers/,https://www.wbho.co.za/careers/,TBD,custom,yes,maybe,unknown,no,30-80,portal paging,low,Medium,firecrawl_ai,medium,"Listed construction company."
group_five,Raubex Group,construction,https://www.raubex.com/careers,https://www.raubex.com/careers,TBD,custom,yes,maybe,unknown,no,20-60,portal paging,low,Medium,firecrawl_ai,medium,"Road/infrastructure construction."
